CUPS;Fecha;Hora;Consumo_kWh;Metodo_obtencion
ES0026000000040084RB0F;25/09/2017;21;0,187;R
ES0026000000040084RB0F;25/09/2017;22;0,556;R
ES0026000000040084RB0F;25/09/2017;23;0,442;R
ES0026000000040084RB0F;25/09/2017;24;0,325;R
ES0026000000040084RB0F;26/09/2017;1;0,195;R
ES0026000000040084RB0F;26/09/2017;2;0,146;R
ES0026000000040084RB0F;26/09/2017;3;0,069;R
ES0026000000040084RB0F;26/09/2017;4;0,081;R
ES0026000000040084RB0F;26/09/2017;5;0,067;R
ES0026000000040084RB0F;26/09/2017;6;0,077;R
ES0026000000040084RB0F;26/09/2017;7;0,09;R
ES0026000000040084RB0F;26/09/2017;8;0,073;R
ES0026000000040084RB0F;26/09/2017;9;0,468;R
ES0026000000040084RB0F;26/09/2017;10;0,454;R
ES0026000000040084RB0F;26/09/2017;11;0,752;R
ES0026000000040084RB0F;26/09/2017;12;0,145;R
ES0026000000040084RB0F;26/09/2017;13;0,196;R
ES0026000000040084RB0F;26/09/2017;14;0,411;R
ES0026000000040084RB0F;26/09/2017;15;1,004;R
ES0026000000040084RB0F;26/09/2017;16;0,164;R
ES0026000000040084RB0F;26/09/2017;17;0,211;R
ES0026000000040084RB0F;26/09/2017;18;0,197;R
ES0026000000040084RB0F;26/09/2017;19;0,094;R
ES0026000000040084RB0F;26/09/2017;20;0,123;R
ES0026000000040084RB0F;26/09/2017;21;0,082;R
ES0026000000040084RB0F;26/09/2017;22;0,2;R
ES0026000000040084RB0F;26/09/2017;23;0,262;R
ES0026000000040084RB0F;26/09/2017;24;0,215;R
ES0026000000040084RB0F;27/09/2017;1;0,189;R
ES0026000000040084RB0F;27/09/2017;2;0,159;R
ES0026000000040084RB0F;27/09/2017;3;0,154;R
ES0026000000040084RB0F;27/09/2017;4;0,092;R
ES0026000000040084RB0F;27/09/2017;5;0,082;R
ES0026000000040084RB0F;27/09/2017;6;0,092;R
ES0026000000040084RB0F;27/09/2017;7;0,06;R
ES0026000000040084RB0F;27/09/2017;8;0,107;R
ES0026000000040084RB0F;27/09/2017;9;0,318;R
ES0026000000040084RB0F;27/09/2017;10;0,084;R
ES0026000000040084RB0F;27/09/2017;11;0,133;R
ES0026000000040084RB0F;27/09/2017;12;0,672;R
ES0026000000040084RB0F;27/09/2017;13;0,476;R
ES0026000000040084RB0F;27/09/2017;14;0,324;R
ES0026000000040084RB0F;27/09/2017;15;0,738;R
ES0026000000040084RB0F;27/09/2017;16;0,172;R
ES0026000000040084RB0F;27/09/2017;17;0,21;R
ES0026000000040084RB0F;27/09/2017;18;0,288;R
ES0026000000040084RB0F;27/09/2017;19;0,172;R
ES0026000000040084RB0F;27/09/2017;20;0,162;R
ES0026000000040084RB0F;27/09/2017;21;0,059;R
ES0026000000040084RB0F;27/09/2017;22;0,145;R
ES0026000000040084RB0F;27/09/2017;23;0,282;R
ES0026000000040084RB0F;27/09/2017;24;0,656;R
ES0026000000040084RB0F;28/09/2017;1;0,79;R
ES0026000000040084RB0F;28/09/2017;2;0,776;R
ES0026000000040084RB0F;28/09/2017;3;0,752;R
ES0026000000040084RB0F;28/09/2017;4;0,718;R
ES0026000000040084RB0F;28/09/2017;5;0,755;R
ES0026000000040084RB0F;28/09/2017;6;0,75;R
ES0026000000040084RB0F;28/09/2017;7;0,714;R
ES0026000000040084RB0F;28/09/2017;8;0,175;R
ES0026000000040084RB0F;28/09/2017;9;0,256;R
ES0026000000040084RB0F;28/09/2017;10;0,078;R
ES0026000000040084RB0F;28/09/2017;11;0,092;R
ES0026000000040084RB0F;28/09/2017;12;0,714;R
ES0026000000040084RB0F;28/09/2017;13;1,296;R
ES0026000000040084RB0F;28/09/2017;14;0,098;R
ES0026000000040084RB0F;28/09/2017;15;0,278;R
ES0026000000040084RB0F;28/09/2017;16;0,291;R
ES0026000000040084RB0F;28/09/2017;17;0,195;R
ES0026000000040084RB0F;28/09/2017;18;0,486;R
ES0026000000040084RB0F;28/09/2017;19;0,13;R
ES0026000000040084RB0F;28/09/2017;20;0,602;R
ES0026000000040084RB0F;28/09/2017;21;0,087;R
ES0026000000040084RB0F;28/09/2017;22;0,113;R
ES0026000000040084RB0F;28/09/2017;23;0,205;R
ES0026000000040084RB0F;28/09/2017;24;0,216;R
ES0026000000040084RB0F;29/09/2017;1;0,801;R
ES0026000000040084RB0F;29/09/2017;2;0,819;R
ES0026000000040084RB0F;29/09/2017;3;0,735;R
ES0026000000040084RB0F;29/09/2017;4;0,746;R
ES0026000000040084RB0F;29/09/2017;5;0,753;R
ES0026000000040084RB0F;29/09/2017;6;0,725;R
ES0026000000040084RB0F;29/09/2017;7;0,498;R
ES0026000000040084RB0F;29/09/2017;8;0,092;R
ES0026000000040084RB0F;29/09/2017;9;0,246;R
ES0026000000040084RB0F;29/09/2017;10;0,098;R
ES0026000000040084RB0F;29/09/2017;11;1,022;R
ES0026000000040084RB0F;29/09/2017;12;0,805;R
ES0026000000040084RB0F;29/09/2017;13;0,281;R
ES0026000000040084RB0F;29/09/2017;14;0,75;R
ES0026000000040084RB0F;29/09/2017;15;0,468;R
ES0026000000040084RB0F;29/09/2017;16;0,121;R
ES0026000000040084RB0F;29/09/2017;17;0,553;R
ES0026000000040084RB0F;29/09/2017;18;0,297;R
ES0026000000040084RB0F;29/09/2017;19;0,634;R
ES0026000000040084RB0F;29/09/2017;20;0,242;R
ES0026000000040084RB0F;29/09/2017;21;0,213;R
ES0026000000040084RB0F;29/09/2017;22;0,803;R
ES0026000000040084RB0F;29/09/2017;23;0,371;R
ES0026000000040084RB0F;29/09/2017;24;0,85;R
ES0026000000040084RB0F;30/09/2017;1;1,102;R
ES0026000000040084RB0F;30/09/2017;2;0,305;R
ES0026000000040084RB0F;30/09/2017;3;0,081;R
ES0026000000040084RB0F;30/09/2017;4;0,082;R
ES0026000000040084RB0F;30/09/2017;5;0,091;R
ES0026000000040084RB0F;30/09/2017;6;0,074;R
ES0026000000040084RB0F;30/09/2017;7;0,073;R
ES0026000000040084RB0F;30/09/2017;8;0,096;R
ES0026000000040084RB0F;30/09/2017;9;0,277;R
ES0026000000040084RB0F;30/09/2017;10;0,156;R
ES0026000000040084RB0F;30/09/2017;11;0,181;R
ES0026000000040084RB0F;30/09/2017;12;0,568;R
ES0026000000040084RB0F;30/09/2017;13;0,187;R
ES0026000000040084RB0F;30/09/2017;14;0,14;R
ES0026000000040084RB0F;30/09/2017;15;0,088;R
ES0026000000040084RB0F;30/09/2017;16;0,057;R
ES0026000000040084RB0F;30/09/2017;17;0,106;R
ES0026000000040084RB0F;30/09/2017;18;1,689;R
ES0026000000040084RB0F;30/09/2017;19;1,475;R
ES0026000000040084RB0F;30/09/2017;20;0,316;R
ES0026000000040084RB0F;30/09/2017;21;1,335;R
ES0026000000040084RB0F;30/09/2017;22;1,298;R
ES0026000000040084RB0F;30/09/2017;23;0,609;R
ES0026000000040084RB0F;30/09/2017;24;0,478;R
ES0026000000040084RB0F;01/10/2017;1;0,194;R
ES0026000000040084RB0F;01/10/2017;2;0,183;R
ES0026000000040084RB0F;01/10/2017;3;0,081;R
ES0026000000040084RB0F;01/10/2017;4;0,076;R
ES0026000000040084RB0F;01/10/2017;5;0,094;R
ES0026000000040084RB0F;01/10/2017;6;0,09;R
ES0026000000040084RB0F;01/10/2017;7;0,133;R
ES0026000000040084RB0F;01/10/2017;8;0,41;R
